state,year,Total Population,Population Under 18,Population 18-54,Population 55+,Male Population,Female Population
U.S.,2014,318301008.0,73563723.0,158596834.0,86140451.0,156695810.0,161690519.0
U.S.,2015,320635163.0,73618051.0,158622174.0,88394938.0,157906843.0,162832151.0
U.S.,2016,322941311.0,73649413.0,158700028.0,90591870.0,159085693.0,163986062.0
U.S.,2017,324985539.0,73585346.0,158772020.0,92628173.0,160113445.0,165008683.0
U.S.,2018,326687501.0,73319145.0,158774768.0,94593588.0,160960513.0,165877686.0
Alabama,2014,4841799.0,1105744.0,2365535.0,1370520.0,2348012.0,2495725.0
Alabama,2015,4852347.0,1102585.0,2350338.0,1399424.0,2352806.0,2501997.0
Alabama,2016,4863525.0,1099450.0,2335571.0,1428504.0,2357211.0,2509613.0
Alabama,2017,4874486.0,1096017.0,2323060.0,1455409.0,2360503.0,2517486.0
Alabama,2018,4887681.0,1091854.0,2314550.0,1481277.0,2365445.0,2526183.0
Alaska,2014,736283.0,186818.0,385461.0,164004.0,385994.0,351081.0
Alaska,2015,737498.0,186144.0,382451.0,168903.0,386716.0,351714.0
Alaska,2016,741456.0,186851.0,381129.0,173476.0,388632.0,353943.0
Alaska,2017,739700.0,185410.0,376472.0,177818.0,386986.0,353997.0
Alaska,2018,735139.0,182696.0,370854.0,181589.0,384304.0,352320.0
Arizona,2014,6730413.0,1623723.0,3256091.0,1850599.0,3347316.0,3385557.0
Arizona,2015,6829676.0,1628633.0,3283486.0,1917557.0,3397442.0,3435368.0
Arizona,2016,6941072.0,1635218.0,3319919.0,1985935.0,3452321.0,3492446.0
Arizona,2017,7044008.0,1637162.0,3353091.0,2053755.0,3502772.0,3545316.0
Arizona,2018,7158024.0,1637600.0,3399827.0,2120597.0,3560169.0,3604059.0
Arkansas,2014,2967392.0,707060.0,1425935.0,834397.0,1457950.0,1510809.0
Arkansas,2015,2978048.0,706417.0,1421961.0,849670.0,1463916.0,1515816.0
Arkansas,2016,2989918.0,705926.0,1418885.0,865107.0,1469966.0,1521849.0
Arkansas,2017,3001345.0,705370.0,1416255.0,879720.0,1475907.0,1527948.0
Arkansas,2018,3009733.0,702704.0,1412372.0,894657.0,1479090.0,1533071.0
California,2014,38596972.0,9134153.0,20021446.0,9441373.0,19164689.0,19422017.0
California,2015,38918045.0,9116629.0,20071831.0,9729585.0,19328315.0,19575981.0
California,2016,39167117.0,9087159.0,20096961.0,9982997.0,19453155.0,19696031.0
California,2017,39358497.0,9046314.0,20098041.0,10214142.0,19553823.0,19783962.0
California,2018,39461588.0,8971748.0,20061549.0,10428291.0,19607822.0,19829641.0
Colorado,2014,5350101.0,1247350.0,2756285.0,1346466.0,2687056.0,2665581.0
Colorado,2015,5450623.0,1257335.0,2799537.0,1393751.0,2741296.0,2713032.0
Colorado,2016,5539215.0,1262977.0,2838028.0,1438210.0,2788777.0,2755067.0
Colorado,2017,5611885.0,1263102.0,2870103.0,1478680.0,2827772.0,2789649.0
Colorado,2018,5691287.0,1263756.0,2909272.0,1518259.0,2868175.0,2828980.0
Connecticut,2014,3594524.0,772709.0,1771893.0,1049922.0,1753445.0,1842252.0
Connecticut,2015,3587122.0,761796.0,1754409.0,1070917.0,1750359.0,1838202.0
Connecticut,2016,3578141.0,751855.0,1735397.0,1090889.0,1745932.0,1833898.0
Connecticut,2017,3573297.0,743342.0,1721391.0,1108564.0,1743821.0,1831503.0
Connecticut,2018,3571520.0,735668.0,1709606.0,1126246.0,1743201.0,1831360.0
Delaware,2014,932487.0,203452.0,451578.0,277457.0,451683.0,481448.0
Delaware,2015,941252.0,203772.0,450493.0,286987.0,456021.0,486044.0
Delaware,2016,948921.0,203729.0,448182.0,297010.0,459497.0,490492.0
Delaware,2017,956823.0,203861.0,446197.0,306765.0,463336.0,494606.0
Delaware,2018,965479.0,203712.0,445038.0,316729.0,467559.0,499426.0
District of Columbia,2014,662328.0,115718.0,400062.0,146548.0,315215.0,348388.0
District of Columbia,2015,675400.0,119066.0,406497.0,149837.0,321166.0,355848.0
District of Columbia,2016,685815.0,121480.0,411949.0,152386.0,326511.0,361065.0
District of Columbia,2017,694906.0,124682.0,416275.0,153949.0,330743.0,366336.0
District of Columbia,2018,701547.0,126648.0,419054.0,155845.0,334326.0,369821.0
Florida,2014,19845911.0,4053007.0,9463295.0,6329609.0,9707653.0,10146227.0
Florida,2015,20209042.0,4101879.0,9560320.0,6546843.0,9888249.0,10330862.0
Florida,2016,20613477.0,4159352.0,9676344.0,6777781.0,10087052.0,10540185.0
Florida,2017,20963613.0,4201903.0,9769541.0,6992169.0,10256426.0,10720663.0
